Epoch: 3 [12500/60000(20.8%)]	Loss: 0.001077	Accuracy:98.00%
Epoch: 3 [13000/60000(21.7%)]	Loss: 0.013044	Accuracy:98.40%
Epoch: 3 [13500/60000(22.5%)]	Loss: 0.020383	Accuracy:98.00%
Epoch: 3 [14000/60000(23.3%)]	Loss: 0.000998	Accuracy:98.60%
Epoch: 3 [14500/60000(24.2%)]	Loss: 0.152037	Accuracy:99.00%
Epoch: 3 [15000/60000(25.0%)]	Loss: 0.029379	Accuracy:99.60%
Epoch: 3 [15500/60000(25.8%)]	Loss: 0.002344	Accuracy:98.20%
Epoch: 3 [16000/60000(26.7%)]	Loss: 0.003480	Accuracy:99.00%
Epoch: 3 [16500/60000(27.5%)]	Loss: 0.001993	Accuracy:98.20%
Epoch: 3 [17000/60000(28.3%)]	Loss: 0.156056	Accuracy:99.40%
Epoch: 3 [17500/60000(29.2%)]	Loss: 0.001708	Accuracy:99.00%
Epoch: 3 [18000/60000(30.0%)]	Loss: 0.002561	Accuracy:99.20%
Epoch: 3 [18500/60000(30.8%)]	Loss: 0.000417	Accuracy:98.00%
Epoch: 3 [19000/60000(31.7%)]	Loss: 0.009540	Accuracy:98.20%
Epoch: 3 [19500/60000(32.5%)]	Loss: 0.023482	Accuracy:98.80%
Epoch: 3 [20000/60000(33.3%)]	Loss: 0.004933	Accuracy:99.20%
Epoch: 3 [20500/60000(34.2%)]	Loss: 0.016223	Accuracy:99.00%
Epoch: 3 [21000/60000(35.0%)]	Loss: 0.000402	Accuracy:99.80%
Epoch: 3 [21500/60000(35.8%)]	Loss: 0.004377	Accuracy:98.20%
Epoch: 3 [22000/60000(36.7%)]	Loss: 0.001539	Accuracy:99.20%
Epoch: 3 [22500/60000(37.5%)]	Loss: 0.035671	Accuracy:98.40%
Epoch: 3 [23000/60000(38.3%)]	Loss: 0.049972	Accuracy:98.20%
Epoch: 3 [23500/60000(39.2%)]	Loss: 0.003930	Accuracy:99.00%
Epoch: 3 [24000/60000(40.0%)]	Loss: 0.162824	Accuracy:98.60%
Epoch: 3 [24500/60000(40.8%)]	Loss: 0.020949	Accuracy:98.80%
Epoch: 3 [25000/60000(41.7%)]	Loss: 0.000061	Accuracy:98.60%
Epoch: 3 [25500/60000(42.5%)]	Loss: 0.134088	Accuracy:98.20%
Epoch: 3 [26000/60000(43.3%)]	Loss: 0.015054	Accuracy:98.20%
Epoch: 3 [26500/60000(44.2%)]	Loss: 0.010456	Accuracy:98.40%
Epoch: 3 [27000/60000(45.0%)]	Loss: 0.002750	Accuracy:98.60%
Epoch: 3 [27500/60000(45.8%)]	Loss: 0.000207	Accuracy:99.00%
Epoch: 3 [28000/60000(46.7%)]	Loss: 0.002421	Accuracy:99.60%
Epoch: 3 [28500/60000(47.5%)]	Loss: 0.096723	Accuracy:98.00%
Epoch: 3 [29000/60000(48.3%)]	Loss: 0.003891	Accuracy:99.80%
Epoch: 3 [29500/60000(49.2%)]	Loss: 0.086558	Accuracy:99.00%
Epoch: 3 [30000/60000(50.0%)]	Loss: 0.002323	Accuracy:99.80%
Epoch: 3 [30500/60000(50.8%)]	Loss: 0.002509	Accuracy:99.60%
Epoch: 3 [31000/60000(51.7%)]	Loss: 0.000453	Accuracy:98.80%
Epoch: 3 [31500/60000(52.5%)]	Loss: 0.107944	Accuracy:98.40%
Epoch: 3 [32000/60000(53.3%)]	Loss: 0.000514	Accuracy:98.80%
Epoch: 3 [32500/60000(54.2%)]	Loss: 0.003440	Accuracy:99.40%
Epoch: 3 [33000/60000(55.0%)]	Loss: 0.206612	Accuracy:99.80%
Epoch: 3 [33500/60000(55.8%)]	Loss: 0.000920	Accuracy:98.80%
Epoch: 3 [34000/60000(56.7%)]	Loss: 0.003539	Accuracy:99.00%
Epoch: 3 [34500/60000(57.5%)]	Loss: 0.009235	Accuracy:99.00%
Epoch: 3 [35000/60000(58.3%)]	Loss: 0.001622	Accuracy:99.40%
Epoch: 3 [35500/60000(59.2%)]	Loss: 0.003067	Accuracy:98.00%
Epoch: 3 [36000/60000(60.0%)]	Loss: 1.214391	Accuracy:98.20%
Epoch: 3 [36500/60000(60.8%)]	Loss: 0.000397	Accuracy:99.60%
Epoch: 3 [37000/60000(61.7%)]	Loss: 0.001422	Accuracy:98.00%
Epoch: 3 [37500/60000(62.5%)]	Loss: 0.017566	Accuracy:98.60%
Epoch: 3 [38000/60000(63.3%)]	Loss: 0.104562	Accuracy:98.60%
Epoch: 3 [38500/60000(64.2%)]	Loss: 0.003022	Accuracy:98.80%
Epoch: 3 [39000/60000(65.0%)]	Loss: 0.001129	Accuracy:99.00%
Epoch: 3 [39500/60000(65.8%)]	Loss: 0.000325	Accuracy:99.40%
Epoch: 3 [40000/60000(66.7%)]	Loss: 0.000613	Accuracy:99.20%
Epoch: 3 [40500/60000(67.5%)]	Loss: 0.000078	Accuracy:98.40%
Epoch: 3 [41000/60000(68.3%)]	Loss: 0.000098	Accuracy:98.80%
